rating_id,company_id,analyst_firm,rating,target_price_usd,rating_date
20818,32,Citigroup,Neutral,,2012-10-19
20819,32,Drexel Hamilton,Buy,,2012-10-02
20820,32,UBS,Neutral,,2012-09-20
20821,32,Citigroup,Neutral,,2012-09-17
20822,32,ISI Group,Hold,,2012-09-10
20823,32,Goldman Sachs,Neutral,,2012-06-26
20824,32,Deutsche Bank,Hold,,2012-06-21
20825,32,FBR Capital,Outperform,,2012-06-04
20826,32,JMP Securities,Underperform,,2012-05-21
20827,32,UBS,Neutral,,2012-05-18
20828,32,UBS,Neutral,,2012-04-02
20829,32,B of A Securities,Neutral,,2012-03-27
20830,32,Deutsche Bank,Hold,,2012-03-16
20831,32,Collins Stewart,Hold,,2012-02-08
20832,33,BTIG,Sell,,2026-06-16
20833,33,Loop Capital,Buy,,2026-05-22
20834,33,Evercore ISI Group,Neutral,,2026-04-29
20835,33,Goldman Sachs,Buy,,2026-04-28
20836,33,Barclays,Neutral,,2026-04-24
20837,33,B of A Securities,Buy,,2026-04-24
20838,33,BTIG,Sell,,2026-04-24
20839,33,Morgan Stanley,Neutral,,2026-04-16
20840,33,JP Morgan,Neutral,,2026-04-09
20841,33,Wells Fargo,Overweight,,2026-04-09
20842,33,Evercore ISI Group,Neutral,,2026-04-06
20843,33,Barclays,Neutral,,2026-04-06
20844,33,Truist Securities,Buy,,2026-03-23
20845,33,BTIG,Sell,,2026-03-16
20846,33,Evercore ISI Group,Neutral,,2026-02-10
20847,33,Truist Securities,Buy,,2026-02-02
20848,33,JP Morgan,Neutral,,2026-02-02
20849,33,BTIG,Sell,,2026-02-02
20850,33,JP Morgan,Neutral,,2026-01-12
20851,33,TD Cowen,Hold,,2026-01-08
20852,33,Barclays,Neutral,,2026-01-06
20853,33,Truist Securities,Buy,,2025-12-22
20854,33,Wells Fargo,Overweight,,2025-12-17
20855,33,Freedom Broker,Hold,,2025-10-24
20856,33,Wells Fargo,Overweight,,2025-10-20
20857,33,Truist Securities,Buy,,2025-10-20
20858,33,Barclays,Neutral,,2025-10-20
20859,33,BTIG,Sell,,2025-10-20
20860,33,Truist Securities,Buy,,2025-09-15
20861,33,Wells Fargo,Overweight,,2025-09-05
20862,33,Deutsche Bank,Buy,,2025-07-21
20863,33,JP Morgan,Neutral,,2025-07-11
20864,33,Morgan Stanley,Neutral,,2025-07-10
20865,33,"Keefe, Bruyette & Woods",Outperform,,2025-07-09
20866,33,Truist Securities,Buy,,2025-07-09
20867,33,Barclays,Neutral,,2025-07-08
20868,33,Citigroup,Neutral,,2025-07-02
20869,33,Truist Securities,Buy,,2025-05-23
20870,33,Evercore ISI Group,Neutral,,2025-04-28
20871,33,Redburn Atlantic,Neutral,,2025-04-23
20872,33,Truist Securities,Buy,,2025-04-22
20873,33,BTIG,Sell,,2025-04-21
20874,33,RBC Capital,Outperform,,2025-04-21
20875,33,JP Morgan,Neutral,,2025-04-21
20876,33,B of A Securities,Buy,,2025-04-20
20877,33,RBC Capital,Outperform,,2025-04-14
20878,33,B of A Securities,Buy,,2025-04-11
20879,33,"Monness, Crespi, Hardt",Buy,,2025-04-08
20880,33,JP Morgan,Neutral,,2025-04-08
20881,33,Truist Securities,Buy,,2025-04-04
20882,33,Citigroup,Neutral,,2025-03-24
20883,34,RBC Capital,Market Perform,,2026-06-10
20884,34,Citigroup,Neutral,,2026-04-29
20885,34,RBC Capital,Underperform,,2026-04-20
20886,34,CICC,Outperform,,2026-04-16
20887,34,UBS,Neutral,,2026-04-13
20888,34,Morgan Stanley,Neutral,,2026-04-10
20889,34,B of A Securities,Neutral,,2026-04-09
20890,34,Guggenheim,Buy,,2026-03-24
20891,34,HSBC,Buy,,2026-03-17
20892,34,Argus Research,Buy,,2026-03-02
20893,34,RBC Capital,Underperform,,2026-02-25
20894,34,Barclays,Underweight,,2026-02-20
20895,34,Freedom Broker,Buy,,2026-02-09
20896,34,Cantor Fitzgerald,Neutral,,2026-02-04
20897,34,Cantor Fitzgerald,Neutral,,2026-01-27
20898,34,Morgan Stanley,Neutral,,2025-12-17
20899,34,B of A Securities,Neutral,,2025-12-15
20900,34,Morgan Stanley,Neutral,,2025-12-12
20901,34,Guggenheim,Buy,,2025-11-24
20902,34,Morgan Stanley,Neutral,,2025-10-10
20903,34,B of A Securities,Neutral,,2025-10-03
20904,34,Citigroup,Neutral,,2025-08-06
20905,34,Morgan Stanley,Neutral,,2025-08-06
20906,34,B of A Securities,Neutral,,2025-08-06
20907,34,UBS,Neutral,,2025-04-30
20908,34,Cantor Fitzgerald,Neutral,,2025-04-22
20909,34,UBS,Neutral,,2025-04-08
